No.,Time,Source,Destination,Protocol,Length,Frame,Time delta from previous displayed frame,Info,,,,,,,,,,,Time 2,Time 1,Delay,delay 2,delay 1,jitter
1,0,192.168.43.13,114.122.0.145,TCP,54,â\234\223,0,"49985  >  443 [FIN, ACK] Seq=1 Ack=1 Win=2760 Len=0",,,,,,,,,,,0.000423,0,0.000423,0.298925,0.000423,0.298502
2,0.000423,192.168.43.13,74.125.200.136,TCP,54,â\234\223,0.000423,"49986  >  443 [FIN, ACK] Seq=1 Ack=1 Win=253 Len=0",,,,,,,,,,,0.299348,0.000423,0.298925,0.001014,0.298925,-0.297911
3,0.299348,192.168.43.13,114.122.0.145,TCP,54,â\234\223,0.298925,"[TCP Retransmission] 49985  >  443 [FIN, ACK] Seq=1 Ack=1 Win=2760 Len=0",,,,,,,,,,,0.300362,0.299348,0.001014,0.00175,0.001014,0.000736
4,0.300362,192.168.43.13,74.125.200.136,TCP,54,â\234\223,0.001014,"[TCP Retransmission] 49986  >  443 [FIN, ACK] Seq=1 Ack=1 Win=253 Len=0",,,,,,,,,,,0.302112,0.300362,0.00175,0.000153,0.00175,-0.001597
5,0.302112,114.122.0.145,192.168.43.13,TCP,54,â\234\223,0.00175,443  >  49985 [ACK] Seq=1 Ack=2 Win=804 Len=0,,,,,,,,,,,0.302265,0.302112,0.000153,0,0.000153,-0.000153
6,0.302265,74.125.200.136,192.168.43.13,TCP,54,â\234\223,0.000153,443  >  49986 [ACK] Seq=1 Ack=2 Win=746 Len=0,,,,,,,,,,,0.302265,0.302265,0,4.2E-05,0,4.2E-05
7,0.302265,114.122.0.145,192.168.43.13,TCP,54,â\234\223,0,"443  >  49985 [FIN, ACK] Seq=1 Ack=2 Win=804 Len=0",,,,,,,,,,,0.302307,0.302265,4.2E-05,0.009688,4.2E-05,0.009646
8,0.302307,192.168.43.13,114.122.0.145,TCP,54,â\234\223,0.000042,49985  >  443 [ACK] Seq=2 Ack=2 Win=2760 Len=0,,,,,,,,,,,0.311995,0.302307,0.009688,6.1E-05,0.009688,-0.009627
9,0.311995,74.125.200.136,192.168.43.13,TCP,54,â\234\223,0.009688,"443  >  49986 [FIN, ACK] Seq=1 Ack=2 Win=746 Len=0",,,,,,,,,,,0.312056,0.311995,6.1E-05,2.094577,6.1E-05,2.094516
10,0.312056,192.168.43.13,74.125.200.136,TCP,54,â\234\223,0.000061,49986  >  443 [ACK] Seq=2 Ack=2 Win=253 Len=0,,,,,,,,,,,2.406633,0.312056,2.094577,0.063002,2.094577,-2.031575
11,2.406633,192.168.43.13,74.125.200.136,TCP,66,â\234\223,2.094577,49987  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,,,,,,2.469635,2.406633,0.063002,0.00022,0.063002,-0.062782
